Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,23-137,1998,7.1,14,7,3,7,4,2,9,22.2,7,165,34,20.6,20,74,71,8,3,0,5,8,22,6,0,Matches
2,Ragnar Ache,de GER,FWMF,Eint Frankfurt,23-235,1998,1.4,2,2,0,1,1,2,3,66.7,1,43,14,32.6,5,17,21,3,0,0,3,0,2,1,0,Matches
3,Tyler Adams,us USA,MF,RB Leipzig,23-034,1999,12.2,23,13,4,16,3,7,26,26.9,19,264,84,31.8,69,162,33,26,1,0,25,20,43,17,1,Matches
4,Sargis Adamyan,am ARM,FWMF,Hoffenheim,28-301,1993,3.7,13,8,8,4,1,5,13,38.5,8,81,27,33.3,17,41,23,5,0,0,5,3,16,2,0,Matches
5,Amine Adli,fr FRA,FWMF,Leverkusen,21-314,2000,13.1,37,24,14,17,6,17,29,58.6,12,266,88,33.1,61,105,100,32,4,0,28,16,53,6,0,Matches
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,19-356,2002,0.7,0,0,0,0,0,0,1,0.0,1,17,6,35.3,4,10,3,2,0,0,2,0,0,2,0,Matches
7,Manuel Akanji,ch SUI,DF,Dortmund,26-244,1995,17.4,38,27,22,12,4,18,25,72.0,7,171,82,48.0,101,59,11,24,12,0,12,35,73,50,0,Matches
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,26-335,1995,13.5,28,15,13,8,7,14,23,60.9,9,207,62,30.0,78,79,50,49,0,0,49,28,56,18,1,Matches
9,Lucas Alario,ar ARG,FW,Leverkusen,29-163,1992,5.0,5,4,0,4,1,2,3,66.7,1,75,20,26.7,4,28,43,4,0,0,4,2,7,4,0,Matches
10,Nadiem Amiri,de GER,MFFW,Leverkusen,25-144,1996,4.1,8,4,4,2,2,4,7,57.1,3,57,23,40.4,14,30,13,5,1,0,4,5,13,2,0,Matches
11,Sebastian Andersson,se SWE,FW,Köln,30-248,1991,12.0,9,7,1,3,5,5,9,55.6,4,164,49,29.9,2,64,98,7,0,0,7,3,12,8,0,Matches
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,23-155,1998,10.7,27,19,18,7,2,14,29,48.3,15,165,56,33.9,99,54,12,19,9,0,10,23,50,51,1,Matches
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,23-211,1998,2.8,7,3,5,2,0,4,7,57.1,3,51,12,23.5,26,15,10,7,0,0,7,4,11,4,1,Matches
14,Robert Andrich,de GER,MF,Leverkusen,27-179,1994,14.3,27,23,14,12,1,9,22,40.9,13,242,83,34.3,94,126,22,29,8,0,21,38,65,37,2,Matches
15,Angeliño,es ESP,DF,RB Leipzig,25-075,1997,20.1,29,14,12,14,3,13,27,48.1,14,212,80,37.7,83,74,55,35,4,0,31,24,53,39,0,Matches
16,Waldemar Anton,de GER,DF,Stuttgart,25-243,1996,22.8,39,27,21,16,2,14,34,41.2,20,256,101,39.5,136,106,14,44,16,1,28,55,94,123,1,Matches
17,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,28-041,1994,11.3,27,19,9,12,6,8,21,38.1,13,261,80,30.7,49,107,105,18,1,0,17,7,34,7,0,Matches
18,Charles Aránguiz,cl CHI,MF,Leverkusen,32-337,1989,11.4,35,24,17,11,7,10,43,23.3,33,282,97,34.4,107,145,30,26,2,0,24,27,62,12,0,Matches
19,Maximilian Arnold,de GER,MF,Wolfsburg,27-297,1994,25.5,36,25,20,14,2,11,34,32.4,23,448,153,34.2,174,231,43,35,11,0,24,49,85,35,0,Matches
20,Takuma Asano,jp JPN,FWMF,Bochum,27-130,1994,11.9,7,5,2,3,2,4,15,26.7,11,264,78,29.5,54,99,111,16,2,0,14,9,16,6,0,Matches
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,25-023,1997,19.6,76,52,42,30,4,28,70,40.0,42,464,153,33.0,205,220,39,37,5,0,32,50,126,28,1,Matches
22,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,19-224,2002,0.1,0,0,0,0,0,0,0,,0,5,3,60.0,0,3,2,0,0,0,0,0,0,0,0,Matches
23,Simon Asta,de GER,DF,Greuther Fürth,21-054,2001,4.1,6,3,3,2,1,3,5,60.0,2,69,23,33.3,30,23,16,12,2,0,10,12,18,2,0,Matches
24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,24-220,1997,18.0,12,8,1,5,6,0,9,0.0,9,271,88,32.5,21,126,124,14,3,0,11,5,17,21,0,Matches
25,Sardar Azmoun,ir IRN,FW,Leverkusen,27-078,1995,0.3,0,0,0,0,0,0,0,,0,2,1,50.0,0,1,1,0,0,0,0,1,1,0,0,Matches
26,Mitchel Bakker,nl NED,DF,Leverkusen,21-273,2000,15.2,33,21,17,13,3,16,32,50.0,16,184,60,32.6,85,70,29,27,2,0,25,37,70,34,1,Matches
27,Ridle Baku,de GER,DFFW,Wolfsburg,23-346,1998,21.0,40,21,22,14,4,13,46,28.3,33,380,110,28.9,127,152,101,47,0,0,47,27,67,33,1,Matches
28,Aymen Barkok,ma MAR,FWMF,Eint Frankfurt,23-303,1998,1.1,5,3,3,2,0,1,3,33.3,2,34,10,29.4,12,14,8,3,0,0,3,3,8,5,0,Matches
29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22-076,2000,15.8,59,30,24,24,11,19,36,52.8,17,376,108,28.7,98,197,81,29,6,0,23,32,91,27,0,Matches
30,Jacob Barrett Laursen,dk DEN,DF,Arminia,27-123,1994,14.0,20,13,12,6,2,6,14,42.9,8,167,56,33.5,72,65,30,30,7,0,23,22,42,35,1,Matches
31,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,22-027,2000,2.3,9,3,6,2,1,6,8,75.0,2,40,11,27.5,15,21,4,6,2,0,4,6,15,0,1,Matches
32,Maximilian Bauer,de GER,DF,Greuther Fürth,22-039,2000,15.9,30,21,23,6,1,10,20,50.0,10,196,77,39.3,112,80,4,25,13,0,12,38,68,93,1,Matches
33,Oliver Baumann,de GER,GK,Hoffenheim,31-291,1990,26.0,0,0,0,0,0,0,1,0.0,1,4,3,75.0,4,0,0,0,0,0,0,0,0,1,0,Matches
34,Timo Baumgartl,de GER,DF,Union Berlin,26-016,1996,21.1,63,32,44,18,1,33,47,70.2,14,336,131,39.0,172,137,27,42,11,0,31,38,101,75,0,Matches
35,Julian Baumgartlinger,at AUT,MF,Leverkusen,34-077,1988,0.1,1,1,0,1,0,0,0,,0,3,2,66.7,1,2,0,0,0,0,0,0,1,0,0,Matches
36,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,22-231,1999,15.7,25,21,14,5,6,10,23,43.5,13,290,87,30.0,62,133,95,21,4,0,17,19,44,14,0,Matches
37,Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,25-211,1996,2.7,5,4,1,2,2,1,2,50.0,1,55,16,29.1,14,19,22,7,2,0,5,6,11,2,0,Matches
38,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,27-331,1994,18.0,20,13,6,10,4,3,10,30.0,7,301,87,28.9,46,113,142,17,2,0,15,11,31,19,0,Matches
39,Sheraldo Becker,sr SUR,FWMF,Union Berlin,27-039,1995,14.1,12,7,2,8,2,2,9,22.2,7,207,71,34.3,26,88,93,11,0,0,11,9,21,2,0,Matches
40,Kevin Behrens,de GER,FW,Union Berlin,31-045,1991,4.8,4,2,1,2,1,0,3,0.0,3,98,27,27.6,11,53,34,7,0,0,7,5,9,8,0,Matches
41,Ishak Belfodil,dz ALG,FW,Hertha BSC,30-067,1992,15.0,12,6,6,6,0,3,7,42.9,4,168,49,29.2,27,78,63,8,2,0,6,5,17,14,0,Matches
42,Stefan Bell,de GER,DF,Mainz 05,30-208,1991,23.8,51,27,37,11,3,21,53,39.6,32,253,97,38.3,140,101,12,34,15,0,19,46,97,129,1,Matches
43,Armel Bella Kotchap,de GER,DF,Bochum,20-099,2001,14.9,36,22,25,11,0,11,19,57.9,8,217,77,35.5,122,87,8,33,20,1,13,51,87,101,0,Matches
44,Karim Bellarabi,de GER,FWMF,Leverkusen,31-346,1990,6.0,5,4,2,2,1,2,6,33.3,4,100,29,29.0,36,35,29,3,0,0,3,7,12,4,0,Matches
45,Jude Bellingham,eng ENG,MF,Dortmund,18-264,2003,23.0,48,33,12,25,11,14,37,37.8,23,478,164,34.3,93,259,126,48,3,0,45,31,79,19,1,Matches
46,George Bello,us USA,DF,Arminia,20-057,2002,2.9,7,4,7,0,0,4,5,80.0,1,34,11,32.4,21,8,5,6,2,0,4,6,13,3,0,Matches
47,László Bénes,sk SVK,MF,M'Gladbach,24-192,1997,2.6,4,4,0,3,1,0,6,0.0,6,52,21,40.4,12,34,6,5,2,0,3,0,4,7,0,Matches
48,Keanan Bennetts,eng ENG,FWDF,M'Gladbach,23-011,1999,0.6,1,0,0,1,0,1,1,100.0,0,11,3,27.3,2,3,6,0,0,0,0,0,1,0,0,Matches
49,Ramy Bensebaini,dz ALG,DF,M'Gladbach,26-338,1995,15.4,28,15,14,13,1,14,34,41.2,20,162,51,31.5,82,62,18,35,8,0,27,61,89,52,0,Matches
50,Louis Beyer,de GER,DF,M'Gladbach,21-305,2000,8.5,31,10,21,9,1,15,33,45.5,18,115,40,34.8,64,45,6,19,5,0,14,16,47,29,0,Matches
51,Bartosz Bialek,pl POL,FWMF,Wolfsburg,20-129,2001,1.2,1,1,0,1,0,0,2,0.0,2,43,13,30.2,0,26,17,0,0,0,0,0,1,2,0,Matches
52,Tom Bischof,de GER,MFFW,Hoffenheim,16-265,2005,0.2,0,0,0,0,0,0,0,,0,4,2,50.0,2,0,2,2,0,0,2,0,0,1,0,Matches
53,Danny Blum,de GER,FW,Bochum,31-072,1991,2.8,1,0,0,0,1,0,1,0.0,1,42,9,21.4,7,13,22,0,0,0,0,5,6,2,0,Matches
54,Kevin-Prince Boateng,gh GHA,MFFW,Hertha BSC,35-014,1987,4.7,4,2,1,3,0,3,8,37.5,5,52,8,15.4,10,34,8,6,2,0,4,7,11,15,0,Matches
55,Herbert Bockhorn,de GER,DF,Bochum,27-048,1995,6.2,17,9,8,7,2,4,12,33.3,8,132,32,24.2,53,58,21,15,1,0,14,20,37,19,0,Matches
56,Jean-Paul Boëtius,nl NED,MF,Mainz 05,27-363,1994,14.5,32,22,17,12,3,16,43,37.2,27,346,126,36.4,95,188,63,33,1,0,32,20,52,9,0,Matches
57,Tarsis Bonga,de GER,FW,Bochum,25-069,1997,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,1,1,0,0,Matches
58,Solomon Bonnah,nl NED,DF,RB Leipzig,18-213,2003,0.1,0,0,0,0,0,0,0,,0,4,2,50.0,0,0,4,1,0,0,1,2,2,0,0,Matches
59,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22-363,1999,17.6,26,18,15,11,0,8,15,53.3,7,177,69,39.0,118,54,5,30,7,0,23,32,58,90,0,Matches
60,Rafael Borré,co COL,FW,Eint Frankfurt,26-186,1995,22.4,30,24,6,12,12,5,25,20.0,20,571,173,30.3,43,244,284,25,3,0,22,4,34,9,0,Matches
61,Dedryck Boyata,be BEL,DF,Hertha BSC,31-112,1990,14.1,11,8,8,3,0,4,8,50.0,4,55,16,29.1,39,16,0,23,11,0,12,19,30,96,2,Matches
62,Julian Brandt,de GER,MFFW,Dortmund,25-322,1996,17.0,26,18,7,12,7,9,38,23.7,29,360,108,30.0,76,180,104,27,2,0,25,21,47,10,0,Matches
63,Iker Bravo,es ESP,FW,Leverkusen,17-066,2005,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,1,0,0,1,0,0,0,0,Matches
64,Fabian Bredlow,de GER,GK,Stuttgart,27-018,1995,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Josip Brekalo,hr CRO,MF,Wolfsburg,23-270,1998,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Brian Brobbey,nl NED,FW,RB Leipzig,20-047,2002,1.5,3,2,0,3,0,2,2,100.0,0,22,8,36.4,1,8,13,1,0,0,1,0,3,0,0,Matches
67,John Brooks,us USA,DF,Wolfsburg,29-051,1993,21.1,38,23,22,15,1,25,46,54.3,21,189,73,38.6,116,64,9,41,16,0,25,51,89,116,2,Matches
68,Daniel Brosinski,de GER,DF,Mainz 05,33-246,1988,3.5,4,3,2,1,1,2,2,100.0,0,33,5,15.2,19,9,5,8,0,0,8,6,10,6,0,Matches
69,Cédric Brunner,ch SUI,DF,Arminia,28-031,1994,22.9,57,31,31,22,4,16,38,42.1,22,285,78,27.4,133,119,33,43,11,0,32,58,115,78,1,Matches
70,Jacob Bruun Larsen,dk DEN,FWMF,Hoffenheim,23-182,1998,6.9,2,0,1,0,1,0,4,0.0,4,98,20,20.4,21,38,39,15,2,0,13,6,8,5,1,Matches
71,Sascha Burchert,de GER,GK,Greuther Fürth,32-141,1989,13.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,1,0,Matches
72,Delano Burgzorg,nl NED,FW,Mainz 05,23-133,1998,0.3,1,1,1,0,0,0,0,,0,13,3,23.1,1,4,8,1,0,0,1,0,1,0,0,Matches
73,Jonathan Burkardt,de GER,FWMF,Mainz 05,21-252,2000,22.2,10,7,1,6,3,1,14,7.1,13,353,101,28.6,41,139,173,26,7,0,19,11,21,14,0,Matches
74,Daniel Caligiuri,it ITA,MFDF,Augsburg,34-064,1988,15.6,44,21,19,19,6,14,50,28.0,36,343,84,24.5,93,169,81,35,3,0,32,16,60,16,0,Matches
75,Emre Can,de GER,MFDF,Dortmund,28-067,1994,12.3,36,29,17,18,1,11,20,55.0,9,152,58,38.2,64,71,17,25,9,0,16,29,65,22,1,Matches
76,Koen Casteels,be BEL,GK,Wolfsburg,29-268,1992,23.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
77,Gonzalo Castro,de GER,MF,Arminia,34-282,1987,2.9,5,4,2,2,1,0,4,0.0,4,50,19,38.0,13,23,14,4,0,0,4,2,7,3,0,Matches
78,Julian Chabot,de GER,DF,Köln,24-036,1998,1.0,1,1,0,1,0,1,3,33.3,2,8,3,37.5,3,5,0,2,0,0,2,2,3,5,0,Matches
79,Timothy Chandler,us USA,DF,Eint Frankfurt,31-356,1990,10.8,19,12,9,9,1,9,19,47.4,10,146,44,30.1,49,68,29,21,3,0,18,16,35,27,0,Matches
80,Justin Che,us USA,DF,Hoffenheim,18-122,2003,0.2,1,1,1,0,0,0,0,,0,4,3,75.0,3,1,0,0,0,0,0,1,2,0,0,Matches
81,Max Christiansen,de GER,MF,Greuther Fürth,25-176,1996,19.4,49,23,22,22,5,14,39,35.9,25,354,115,32.5,132,188,34,58,12,1,46,71,120,54,0,Matches
82,Kingsley Coman,fr FRA,FWDF,Bayern Munich,25-280,1996,12.0,11,7,1,6,4,3,10,30.0,7,136,35,25.7,27,54,55,15,0,0,15,13,24,4,0,Matches
83,Lucas Copado,de GER,FW,Bayern Munich,18-069,2004,0.2,0,0,0,0,0,0,1,0.0,1,8,2,25.0,2,4,2,0,0,0,0,0,0,0,0,Matches
84,Sergio Córdova,ve VEN,FWMF,Augsburg,24-223,1997,3.6,6,4,4,2,0,0,1,0.0,1,68,24,35.3,18,31,19,0,0,0,0,1,7,5,0,Matches
85,Danny da Costa,de GER,DF,Eint Frankfurt,28-250,1993,7.1,13,8,5,7,1,4,14,28.6,10,94,32,34.0,41,35,18,19,2,0,17,14,27,23,0,Matches
86,Tanguy Coulibaly,fr FRA,DFFW,Stuttgart,21-030,2001,11.2,26,13,16,10,0,10,18,55.6,8,216,47,21.8,67,86,63,18,3,0,15,7,33,7,0,Matches
87,Mickaël Cuisance,fr FRA,MF,Bayern Munich,22-216,1999,0.1,1,1,0,1,0,0,0,,0,4,1,25.0,0,3,1,0,0,0,0,0,1,0,0,Matches
88,Matheus Cunha,br BRA,FW,Hertha BSC,22-297,1999,0.7,0,0,0,0,0,0,0,,0,11,3,27.3,2,7,2,0,0,0,0,1,1,0,0,Matches
89,Rafael Czichos,de GER,DF,Köln,31-310,1990,15.6,29,22,17,10,2,11,33,33.3,22,156,70,44.9,96,52,8,34,15,0,19,38,67,77,4,Matches
90,Lennart-Marten Czyborra,de GER,DF,Arminia,22-321,1999,1.5,1,1,1,0,0,0,2,0.0,2,17,5,29.4,9,6,2,0,0,0,0,6,7,3,1,Matches
