Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
16,Claud Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3.0,77,101,76.2,1199,378,41,50,82.0,28,33,84.8,6,8,75.0,0,0.1,-0.1,2,2,3,0,4,Matches
17,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,111,151,73.5,1935,591,48,60,80.0,49,63,77.8,11,23,47.8,0,0.9,-0.9,6,13,3,1,16,Matches
18,Ali Adnan Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,78,123,63.4,1504,612,35,48,72.9,32,46,69.6,10,23,43.5,0,0.2,-0.2,3,6,2,1,10,Matches
19,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,149,237,62.9,2052,331,92,135,68.1,44,74,59.5,7,17,41.2,0,0.4,-0.4,5,10,3,1,8,Matches
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,980,1204,81.4,17749,6575,464,506,91.7,413,487,84.8,96,172,55.8,3,1.8,+1.2,15,55,24,13,70,Matches
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,673,968,69.5,11708,5682,311,366,85.0,301,410,73.4,56,159,35.2,0,0.4,-0.4,8,63,14,5,92,Matches
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,452,577,78.3,10088,4103,130,143,90.9,233,260,89.6,85,162,52.5,0,0.1,-0.1,2,37,3,1,24,Matches
23,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,650,776,83.8,9092,1583,385,445,86.5,210,239,87.9,26,43,60.5,8,5.4,+2.6,33,34,40,0,62,Matches
24,Ruben Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,1328,1642,80.9,22716,9218,666,747,89.2,541,646,83.7,112,204,54.9,4,3.2,+0.8,46,77,47,24,145,Matches
25,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,163,185,88.1,2694,771,87,95,91.6,65,73,89.0,11,17,64.7,0,0.0,0.0,1,16,3,1,11,Matches
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,26,31,83.9,475,61,12,15,80.0,9,10,90.0,4,4,100.0,0,0.0,0.0,1,1,0,0,0,Matches
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,465,552,84.2,8682,2135,177,207,85.5,228,251,90.8,51,80,63.8,1,0.2,+0.8,4,48,4,0,53,Matches
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,14,34,41.2,276,169,6,9,66.7,5,14,35.7,3,8,37.5,0,0.0,0.0,0,2,2,1,3,Matches
29,Ola Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24.0,845,1160,72.8,14588,6204,418,479,87.3,314,430,73.0,94,194,48.5,3,2.1,+0.9,24,52,31,14,89,Matches
30,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,580,664,87.3,11601,2501,203,230,88.3,283,312,90.7,87,104,83.7,0,0.4,-0.4,8,45,7,2,57,Matches
31,Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,638,739,86.3,13365,3614,202,221,91.4,317,345,91.9,114,157,72.6,2,1.0,+1.0,13,75,6,0,67,Matches
32,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,30,33,90.9,364,152,23,23,100.0,6,9,66.7,0,0,,0,0.0,0.0,0,2,1,0,1,Matches
33,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,355,467,76.0,5737,672,204,261,78.2,105,133,78.9,38,50,76.0,1,1.0,0.0,12,18,7,2,20,Matches
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1698,1828,92.9,37754,11043,444,474,93.7,902,938,96.2,343,400,85.8,0,0.4,-0.4,6,110,4,3,93,Matches
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,346,442,78.3,5601,2530,184,210,87.6,124,166,74.7,31,47,66.0,0,0.3,-0.3,3,20,5,0,25,Matches
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,1488,1726,86.2,30575,10923,475,532,89.3,778,853,91.2,225,310,72.6,0,0.7,-0.7,4,81,5,2,66,Matches
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,70,89,78.7,1135,425,41,44,93.2,24,30,80.0,4,13,30.8,1,0.1,+0.9,2,6,1,1,5,Matches
38,Chadrac Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,122,160,76.3,1759,441,74,83,89.2,44,57,77.2,3,11,27.3,1,0.3,+0.7,5,4,6,2,15,Matches
39,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,229,271,84.5,4537,1630,80,87,92.0,118,125,94.4,30,51,58.8,0,0.0,0.0,0,27,0,0,28,Matches
40,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,140,169,82.8,3215,1096,31,35,88.6,81,89,91.0,28,42,66.7,0,0.0,0.0,0,14,3,0,13,Matches
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,1768,2137,82.7,30706,10327,831,933,89.1,761,875,87.0,161,277,58.1,3,4.9,-1.9,34,162,46,24,148,Matches
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,21.1,837,1104,75.8,13415,6145,476,547,87.0,290,366,79.2,58,142,40.8,0,1.8,-1.8,23,54,15,3,72,Matches
43,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,304,391,77.7,4025,659,191,234,81.6,72,102,70.6,21,22,95.5,3,1.9,+1.1,15,8,8,1,20,Matches
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2305,2686,85.8,36567,13309,1283,1393,92.1,856,986,86.8,145,233,62.2,8,5.2,+2.8,44,141,60,18,213,Matches
45,Luis Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,1121,1479,75.8,20363,7417,538,611,88.1,419,505,83.0,144,312,46.2,5,6.1,-1.1,80,141,62,8,191,Matches
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1000,1126,88.8,24705,7512,191,202,94.6,513,548,93.6,292,360,81.1,0,1.0,-1.0,5,89,4,1,59,Matches
47,Miiko Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,725,972,74.6,13709,5478,305,345,88.4,309,390,79.2,107,208,51.4,3,1.4,+1.6,16,55,22,8,78,Matches
48,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,461,776,59.4,8838,3600,228,289,78.9,144,225,64.0,78,198,39.4,2,2.4,-0.4,29,51,30,15,78,Matches
49,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,210,274,76.6,2570,462,147,184,79.9,45,59,76.3,9,19,47.4,0,2.5,-2.5,17,10,8,0,18,Matches
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,698,843,82.8,16867,5451,147,165,89.1,401,434,92.4,149,235,63.4,1,0.3,+0.7,4,37,6,0,40,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2327,2573,90.4,49919,12379,759,808,93.9,1087,1155,94.1,469,580,80.9,6,2.8,+3.2,34,276,26,0,257,Matches
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,1435,1748,82.1,30948,7169,483,540,89.4,655,724,90.5,278,439,63.3,2,1.3,+0.7,20,170,2,0,107,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,2075,2347,88.4,50518,15123,460,486,94.7,1092,1152,94.8,518,695,74.5,0,0.7,-0.7,7,191,27,1,124,Matches
54,Álex Alegría,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,24,38,63.2,367,75,16,22,72.7,5,8,62.5,2,4,50.0,0,0.3,-0.3,3,2,1,0,3,Matches
55,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
56,Iván Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,16,41,39.0,329,108,6,14,42.9,5,13,38.5,4,12,33.3,0,0.1,-0.1,1,2,2,1,2,Matches
57,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,540,587,92.0,9394,1852,260,270,96.3,221,236,93.6,53,67,79.1,0,0.7,-0.7,9,58,5,0,39,Matches
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,581,831,69.9,20037,13462,58,61,95.1,258,265,97.4,264,502,52.6,0,0.0,0.0,0,13,0,0,0,Matches
59,Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,4,7,57.1,45,34,4,4,100.0,0,1,0.0,0,2,0.0,0,0.0,0.0,0,0,0,0,1,Matches
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,1649,2202,74.9,34737,13514,614,697,88.1,734,902,81.4,288,547,52.7,12,6.5,+5.5,46,121,56,25,194,Matches
61,Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,273,383,71.3,3904,805,171,208,82.2,73,113,64.6,13,32,40.6,0,1.2,-1.2,19,16,16,3,30,Matches
62,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,1053,1274,82.7,30945,16915,119,122,97.5,557,562,99.1,376,587,64.1,0,0.0,0.0,0,10,1,0,0,Matches
63,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,288,466,61.8,11722,9063,20,20,100.0,97,103,94.2,171,343,49.9,0,0.0,0.0,0,10,0,0,0,Matches
64,Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2.0,43,65,66.2,934,248,17,27,63.0,16,25,64.0,9,11,81.8,0,0.0,0.0,1,5,1,0,6,Matches
65,Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,1981,2235,88.6,36605,9892,848,931,91.1,856,932,91.8,260,324,80.2,3,3.3,-0.3,36,267,37,1,198,Matches
66,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,22,1996,20.3,841,1051,80.0,13911,3295,419,492,85.2,333,389,85.6,65,106,61.3,3,2.6,+0.4,30,77,39,3,101,Matches
67,Miguel Almirón,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,188,260,72.3,3320,863,91,109,83.5,67,87,77.0,26,40,65.0,0,0.8,-0.8,12,16,14,9,19,Matches
68,Júnior Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6.0,237,319,74.3,4324,1897,97,115,84.3,111,140,79.3,26,56,46.4,0,0.2,-0.2,5,20,4,3,23,Matches
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,1855,2234,83.0,29252,9727,1004,1099,91.4,707,842,84.0,111,217,51.2,4,3.6,+0.4,31,117,22,9,133,Matches
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,6.3,197,307,64.2,3517,1385,89,106,84.0,78,112,69.6,28,79,35.4,0,0.4,-0.4,8,18,4,2,22,Matches
71,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,293,444,66.0,10207,7465,35,35,100.0,133,136,97.8,125,272,46.0,0,0.0,0.0,0,5,0,0,0,Matches
72,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,404,496,81.5,8804,1867,121,141,85.8,198,226,87.6,83,120,69.2,0,0.0,0.0,2,35,0,0,24,Matches
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,1027,1247,82.4,22656,8314,292,323,90.4,526,582,90.4,205,331,61.9,0,0.0,0.0,1,78,5,1,66,Matches
74,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,963,1204,80.0,24965,9484,175,205,85.4,476,543,87.7,309,445,69.4,1,1.3,-0.3,10,63,2,2,60,Matches
75,Dani Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18.0,1327,1589,83.5,21324,7177,725,784,92.5,466,544,85.7,106,187,56.7,7,7.0,0.0,33,143,50,12,165,Matches
76,Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,1,2,50.0,13,3,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
77,Ibrahim Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,313,365,85.8,5925,1258,131,146,89.7,135,154,87.7,42,52,80.8,0,0.1,-0.1,4,17,2,0,23,Matches
78,Romain Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28.0,839,1071,78.3,17547,4607,308,369,83.5,355,413,86.0,163,260,62.7,0,0.9,-0.9,15,107,29,6,108,Matches
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,364,436,83.5,6817,2993,155,165,93.9,162,193,83.9,44,71,62.0,0,0.1,-0.1,3,28,0,0,30,Matches
80,Jordi Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,1081,1289,83.9,23563,8418,330,376,87.8,532,585,90.9,210,302,69.5,0,0.1,-0.1,4,71,0,0,83,Matches
81,Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,151,217,69.6,2506,840,88,109,80.7,47,67,70.1,16,31,51.6,2,0.7,+1.3,9,13,10,4,23,Matches
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,967,1295,74.7,18118,5676,377,449,84.0,458,586,78.2,123,212,58.0,2,2.0,0.0,24,58,20,14,100,Matches
83,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,938,1188,79.0,15948,6779,493,552,89.3,328,413,79.4,98,174,56.3,1,0.7,+0.3,8,75,10,3,86,Matches
84,Nadiem Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,327,382,85.6,5679,1463,151,168,89.9,134,148,90.5,37,54,68.5,1,1.7,-0.7,17,26,10,2,45,Matches
85,Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
86,Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,1,2,50.0,14,7,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
87,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,1816,2048,88.7,40867,12600,476,520,91.5,954,1015,94.0,375,492,76.2,1,0.5,+0.5,6,150,6,1,137,Matches
88,Felipe Anderson,br BRA,MFFW,West Ham,eng Premier League,25,1993,33.8,1322,1813,72.9,22528,7649,669,804,83.2,430,550,78.2,159,306,52.0,4,6.6,-2.6,62,105,84,15,181,Matches
89,Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,124,182,68.1,1661,193,73,98,74.5,36,53,67.9,6,10,60.0,0,0.1,-0.1,2,3,2,1,3,Matches
90,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,1182,1479,79.9,20444,5361,557,650,85.7,492,595,82.7,108,173,62.4,1,1.2,-0.2,22,111,23,2,132,Matches
91,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,62,69,89.9,1502,392,10,11,90.9,38,39,97.4,14,19,73.7,0,0.0,0.0,0,1,0,0,5,Matches
92,Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,191,233,82.0,4437,1197,41,48,85.4,108,115,93.9,42,68,61.8,0,0.0,0.0,0,9,0,0,7,Matches
93,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,1,1,100.0,10,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,292,362,80.7,9462,5487,31,31,100.0,123,124,99.2,138,207,66.7,0,0.0,0.0,0,0,0,0,0,Matches
95,José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,1403,2147,65.3,32444,15589,414,477,86.8,646,846,76.4,332,759,43.7,1,3.6,-2.6,53,181,76,30,185,Matches
96,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,579,878,65.9,12315,5296,224,252,88.9,231,338,68.3,113,254,44.5,2,2.5,-0.5,32,49,48,32,89,Matches
97,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,425,563,75.5,6241,1069,244,305,80.0,145,185,78.4,22,33,66.7,0,1.5,-1.5,19,26,14,3,30,Matches
98,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,1434,1704,84.2,32643,9331,316,367,86.1,814,902,90.2,294,400,73.5,0,0.2,-0.2,5,84,1,1,81,Matches
99,Luca Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,8.4,273,379,72.0,4724,2100,130,149,87.2,120,162,74.1,22,61,36.1,1,0.2,+0.8,4,23,5,1,29,Matches
100,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,31,37,83.8,514,243,13,15,86.7,16,18,88.9,2,3,66.7,0,0.0,0.0,0,4,1,0,7,Matches
101,Michail Antonio,jm JAM,FWMF,West Ham,eng Premier League,28,1990,23.4,504,767,65.7,8050,2271,293,370,79.2,148,241,61.4,46,104,44.2,4,3.3,+0.7,20,35,18,7,56,Matches
102,Antoñito,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,671,902,74.4,11242,5016,334,368,90.8,268,345,77.7,57,149,38.3,1,1.8,-0.8,23,50,25,13,75,Matches
103,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,713,1178,60.5,15239,8474,251,312,80.4,314,453,69.3,136,361,37.7,3,2.7,+0.3,29,77,34,17,88,Matches
104,Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12.0,306,401,76.3,5423,1024,143,177,80.8,124,155,80.0,32,51,62.7,0,0.1,-0.1,3,16,2,1,15,Matches
105,Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,465,565,82.3,9494,2048,156,169,92.3,217,237,91.6,84,142,59.2,0,1.3,-1.3,14,32,5,3,30,Matches
106,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34.0,1801,2069,87.0,32190,7580,833,929,89.7,731,798,91.6,210,269,78.1,7,3.3,+3.7,40,202,38,0,191,Matches
107,Emmanuel Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,6,7,85.7,68,2,2,3,66.7,2,2,100.0,0,0,,0,0.1,-0.1,1,1,0,0,0,Matches
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,560,804,69.7,12668,3657,199,253,78.7,193,269,71.7,151,243,62.1,2,1.6,+0.4,15,74,8,2,90,Matches
109,Guilherme Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,7.0,239,295,81.0,3834,1071,123,146,84.2,101,117,86.3,14,24,58.3,0,0.1,-0.1,2,5,1,1,8,Matches
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,1449,1647,88.0,25633,7427,681,741,91.9,582,649,89.7,159,206,77.2,7,2.8,+4.2,29,154,28,6,181,Matches
111,Luiz Araújo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,232,311,74.6,4587,1114,113,132,85.6,75,99,75.8,42,69,60.9,2,1.2,+0.8,12,19,10,5,26,Matches
112,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,1299,1478,87.9,27487,8432,325,360,90.3,777,838,92.7,188,260,72.3,0,0.3,-0.3,4,57,6,2,57,Matches
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,855,1094,78.2,21848,7004,177,208,85.1,410,473,86.7,263,398,66.1,2,0.4,+1.6,4,126,6,1,83,Matches
114,Joaquín Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,2,4,50.0,21,0,2,3,66.7,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
115,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,437,508,86.0,11542,7081,75,75,100.0,235,238,98.7,127,194,65.5,0,0.0,0.0,0,1,0,0,0,Matches
116,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,821,1037,79.2,13087,5983,427,477,89.5,330,418,78.9,43,100,43.0,1,1.0,0.0,14,46,26,9,97,Matches
117,Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,512,608,84.2,11247,3475,142,155,91.6,279,306,91.2,89,141,63.1,0,0.2,-0.2,3,27,2,0,19,Matches
118,Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,17,25,68.0,335,126,4,6,66.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0,1,1,0,2,Matches
119,Yoël Armougom,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,636,910,69.9,12063,5322,274,327,83.8,267,353,75.6,87,204,42.6,1,1.4,-0.4,15,54,19,10,58,Matches
120,Stuart Armstrong,sct SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,504,660,76.4,8588,2123,258,315,81.9,183,218,83.9,51,78,65.4,2,1.4,+0.6,28,42,22,2,61,Matches
121,José Arnaiz,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,25,32,78.1,337,23,13,17,76.5,11,13,84.6,0,1,0.0,0,0.1,-0.1,1,0,0,0,0,Matches
122,Marko Arnautović,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,497,661,75.2,7576,1305,288,362,79.6,151,197,76.6,35,52,67.3,4,3.4,+0.6,33,19,17,2,38,Matches
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,1105,1469,75.2,26432,6633,313,384,81.5,480,560,85.7,306,493,62.1,6,3.4,+2.6,39,116,31,8,134,Matches
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,998,1162,85.9,27744,14834,154,155,99.4,500,509,98.2,342,495,69.1,0,0.0,0.0,0,2,0,0,0,Matches
125,Harry Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,541,691,78.3,10340,2969,231,272,84.9,226,266,85.0,77,126,61.1,1,0.6,+0.4,10,60,22,3,70,Matches
126,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,1933,2216,87.2,35205,10592,865,927,93.3,846,946,89.4,212,306,69.3,1,1.5,-0.5,30,174,44,14,175,Matches
127,Takuma Asano,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,118,170,69.4,1873,408,65,87,74.7,38,53,71.7,12,19,63.2,0,0.5,-0.5,3,9,7,1,13,Matches
128,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27.0,923,1140,81.0,17205,4025,368,440,83.6,420,486,86.4,121,168,72.0,0,0.7,-0.7,13,79,10,2,89,Matches
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32.0,521,805,64.7,19300,12895,50,50,100.0,211,216,97.7,259,538,48.1,0,0.0,0.0,0,15,0,0,1,Matches
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,22,1996,19.8,842,1020,82.5,13292,3242,487,540,90.2,262,308,85.1,78,123,63.4,4,4.0,0.0,33,52,50,18,77,Matches
131,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,30,1987,25.0,722,904,79.9,11754,2520,383,458,83.6,248,300,82.7,71,100,71.0,6,5.3,+0.7,52,40,33,4,70,Matches
132,Simon Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1.0,21,35,60.0,315,133,12,15,80.0,7,13,53.8,2,7,28.6,0,0.0,0.0,0,1,0,0,2,Matches
133,Youcef Atal,dz ALG,DFMF,Nice,fr Ligue 1,22,1996,25.1,1027,1278,80.4,16417,4718,528,615,85.9,409,486,84.2,67,127,52.8,0,3.3,-3.3,27,51,24,10,78,Matches
134,Christian Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,26,1992,16.6,331,449,73.7,4894,1093,199,223,89.2,86,133,64.7,28,53,52.8,0,1.1,-1.1,13,23,14,7,22,Matches
135,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,1989,30.3,524,734,71.4,7253,1918,322,405,79.5,151,223,67.7,24,44,54.5,5,3.9,+1.1,33,33,34,5,65,Matches
136,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36.0,849,1158,73.3,22289,13292,161,164,98.2,437,442,98.9,247,547,45.2,0,0.1,-0.1,2,3,0,0,0,Matches
137,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,1997,5.1,65,80,81.3,1008,211,33,42,78.6,26,31,83.9,3,3,100.0,0,0.9,-0.9,8,5,2,2,4,Matches
138,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,1559,1979,78.8,27134,10979,742,837,88.6,667,794,84.0,138,297,46.5,4,2.6,+1.4,25,97,43,24,155,Matches
139,Serge Aurier,ci CIV,DFMF,Tottenham,eng Premier League,25,1992,6.3,254,353,72.0,4415,1809,118,142,83.1,106,148,71.6,24,42,57.1,2,0.6,+1.4,6,11,12,7,28,Matches
140,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,29,1989,10.9,121,199,60.8,1911,251,55,85,64.7,45,72,62.5,10,24,41.7,2,0.2,+1.8,7,2,2,0,5,Matches
141,Ezequiel Ávila,ar ARG,FWMF,Huesca,es La Liga,24,1994,22.2,314,576,54.5,6623,2291,142,212,67.0,96,179,53.6,66,144,45.8,2,2.7,-0.7,21,47,17,5,63,Matches
142,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,26,1991,13.1,206,278,74.1,2880,498,123,146,84.2,61,81,75.3,9,19,47.4,2,1.1,+0.9,13,12,5,0,17,Matches
143,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,1994,27.2,1265,1430,88.5,29534,9646,320,341,93.8,643,681,94.4,293,388,75.5,1,0.4,+0.6,5,90,6,1,78,Matches
144,Floyd Ayité,tg TOG,FWMF,Fulham,eng Premier League,29,1988,5.3,163,208,78.4,2563,728,90,106,84.9,52,65,80.0,15,23,65.2,0,0.3,-0.3,8,13,8,1,19,Matches
145,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,2486,2911,85.4,40550,14443,1269,1392,91.2,1016,1161,87.5,168,262,64.1,5,2.3,+2.7,25,167,43,19,155,Matches
146,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,856,1037,82.5,19639,6851,212,235,90.2,445,488,91.2,194,301,64.5,0,0.0,0.0,1,28,0,0,28,Matches
