,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,35,35,3006,33.4,5,0,5,0,0,4,0,0.15,0.00,0.15,0.15,0.15,2.9,2.9,0.6,3.6,0.09,0.02,0.11,0.09,0.11,Matches
31,Ailton,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,5,1,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.13,0.15,0.02,0.15,Matches
32,Youssef Aït Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,27,25,2047,22.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,1.8,0.03,0.05,0.08,0.03,0.08,Matches
33,Arlind Ajeti,al ALB,DFMF,Crotone,it Serie A,23,1993,21,15,1271,14.1,0,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,1.1,1.8,0.05,0.08,0.13,0.05,0.13,Matches
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,11,10,904,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,38,37,3353,37.3,2,3,2,0,0,5,0,0.05,0.08,0.13,0.05,0.13,2.4,2.4,1.9,4.3,0.07,0.05,0.12,0.07,0.12,Matches
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,3,0,37,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.21,0.00,0.21,0.21,0.21,Matches
37,Chadrac Akolo,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,22,13,1102,12.2,5,0,5,0,1,2,0,0.41,0.00,0.41,0.41,0.41,4.8,4.0,1.7,5.7,0.39,0.14,0.53,0.33,0.47,Matches
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,22,17,1690,18.8,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.5,1.7,0.01,0.08,0.09,0.01,0.09,Matches
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,23,17,1551,17.2,2,2,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,1.0,1.0,2.2,3.2,0.06,0.13,0.18,0.06,0.18,Matches
40,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,23,17,1550,17.2,9,4,8,1,2,4,1,0.52,0.23,0.75,0.46,0.70,10.9,9.4,1.7,11.1,0.63,0.10,0.73,0.54,0.64,Matches
41,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,33,30,2744,30.5,2,8,2,0,0,7,0,0.07,0.26,0.33,0.07,0.33,2.0,2.0,4.3,6.3,0.07,0.14,0.21,0.07,0.21,Matches
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,20,19,1748,19.4,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.1,1.5,0.07,0.00,0.08,0.07,0.08,Matches
44,Luis Alberto,es ESP,MFFW,Lazio,it Serie A,24,1992,34,32,2669,29.7,11,14,10,1,2,5,0,0.37,0.47,0.84,0.34,0.81,7.9,6.4,10.1,16.5,0.27,0.34,0.61,0.21,0.56,Matches
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,31,30,2742,30.5,3,1,3,0,0,7,0,0.10,0.03,0.13,0.10,0.13,1.8,1.8,1.2,3.1,0.06,0.04,0.10,0.06,0.10,Matches
46,Miiko Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,26,1990,10,7,703,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,1.4,0.03,0.15,0.18,0.03,0.18,Matches
47,Marc Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,34,30,2538,28.2,2,7,2,0,0,5,1,0.07,0.25,0.32,0.07,0.32,1.6,1.6,5.1,6.6,0.06,0.18,0.24,0.06,0.24,Matches
48,Paco Alcácer,es ESP,MFFW,Barcelona,es La Liga,23,1993,17,8,695,7.7,4,3,4,0,0,0,0,0.52,0.39,0.91,0.52,0.91,3.0,3.0,2.1,5.1,0.39,0.27,0.66,0.39,0.66,Matches
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,8,8,689,7.7,1,0,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,0.8,0.8,0.2,1.0,0.11,0.03,0.14,0.11,0.14,Matches
